Student_ID,Grade,Subject,Feedback_Text,Sentiment_Label
STU10000,Grade 10,Social Science,Lessons are acceptable but can be improved.,Neutral
STU10001,Grade 7,English,I feel confused during many classes.,Negative
STU10002,Grade 8,Social Science,The subject is manageable but not very interesting.,Neutral
STU10003,Grade 10,Tamil,The teacher uses examples that make learning easy.,Positive
STU10004,Grade 8,Science,The teaching style needs improvement.,Negative
STU10005,Grade 6,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10006,Grade 8,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10007,Grade 6,Tamil,I enjoy this subject because the teacher teaches very well.,Positive
STU10008,Grade 9,Tamil,I enjoy this subject because the teacher teaches very well.,Positive
STU10009,Grade 6,Science,The subject is okay but could be taught better.,Neutral
STU10010,Grade 8,Science,The subject is okay but could be taught better.,Neutral
STU10011,Grade 10,Mathematics,The teacher explains too fast and it is hard to understand.,Negative
STU10012,Grade 10,Science,The subject is manageable but not very interesting.,Neutral
STU10013,Grade 6,Tamil,The teacher explains too fast and it is hard to understand.,Negative
STU10014,Grade 8,Mathematics,The subject is okay but could be taught better.,Neutral
STU10015,Grade 9,English,The subject is okay but could be taught better.,Neutral
STU10016,Grade 6,Social Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10017,Grade 10,Mathematics,Lessons are acceptable but can be improved.,Neutral
STU10018,Grade 6,Mathematics,Teaching is neither very good nor very bad.,Neutral
STU10019,Grade 10,Social Science,I enjoy this subject because the teacher teaches very well.,Positive
STU10020,Grade 8,Tamil,The subject is manageable but not very interesting.,Neutral
STU10021,Grade 10,Tamil,The teaching style needs improvement.,Negative
STU10022,Grade 8,Tamil,Lessons are acceptable but can be improved.,Neutral
STU10023,Grade 10,Mathematics,The subject is manageable but not very interesting.,Neutral
STU10024,Grade 9,Mathematics,Classes are engaging and doubts are explained patiently.,Positive
STU10025,Grade 7,Tamil,Teaching is neither very good nor very bad.,Neutral
STU10026,Grade 10,English,The teacher uses examples that make learning easy.,Positive
STU10027,Grade 6,Tamil,The subject is manageable but not very interesting.,Neutral
STU10028,Grade 7,Tamil,More examples are needed to understand the lessons.,Negative
STU10029,Grade 8,Tamil,Classes are engaging and doubts are explained patiently.,Positive
STU10030,Grade 7,Mathematics,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10031,Grade 10,Mathematics,I enjoy this subject because the teacher teaches very well.,Positive
STU10032,Grade 8,Mathematics,Teaching is neither very good nor very bad.,Neutral
STU10033,Grade 8,Science,Classes are engaging and doubts are explained patiently.,Positive
STU10034,Grade 10,English,I enjoy this subject because the teacher teaches very well.,Positive
STU10035,Grade 8,Mathematics,Classes are average and sometimes interesting.,Neutral
STU10036,Grade 10,Science,Classes are average and sometimes interesting.,Neutral
STU10037,Grade 10,English,Classes are average and sometimes interesting.,Neutral
STU10038,Grade 8,Mathematics,Classes are sometimes boring and difficult to follow.,Negative
STU10039,Grade 8,Tamil,I feel confused during many classes.,Negative
STU10040,Grade 9,English,Classes are sometimes boring and difficult to follow.,Negative
STU10041,Grade 9,Science,The subject is manageable but not very interesting.,Neutral
STU10042,Grade 9,Science,This subject is taught in a clear and understandable way.,Positive
STU10043,Grade 7,Science,I feel confused during many classes.,Negative
STU10044,Grade 8,Science,The teacher uses examples that make learning easy.,Positive
STU10045,Grade 7,English,The teacher explains too fast and it is hard to understand.,Negative
STU10046,Grade 6,Mathematics,More examples are needed to understand the lessons.,Negative
STU10047,Grade 8,Tamil,More examples are needed to understand the lessons.,Negative
STU10048,Grade 6,Social Science,Teaching is neither very good nor very bad.,Neutral
STU10049,Grade 9,Science,Classes are average and sometimes interesting.,Neutral
STU10050,Grade 6,Mathematics,The teacher explains too fast and it is hard to understand.,Negative
STU10051,Grade 9,English,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10052,Grade 10,English,More examples are needed to understand the lessons.,Negative
STU10053,Grade 9,Science,More examples are needed to understand the lessons.,Negative
STU10054,Grade 9,Social Science,More examples are needed to understand the lessons.,Negative
STU10055,Grade 10,Science,Classes are engaging and doubts are explained patiently.,Positive
STU10056,Grade 10,Social Science,The teacher uses examples that make learning easy.,Positive
STU10057,Grade 9,Tamil,Classes are average and sometimes interesting.,Neutral
STU10058,Grade 9,Mathematics,I feel confused during many classes.,Negative
STU10059,Grade 8,Science,Lessons are acceptable but can be improved.,Neutral
STU10060,Grade 10,Social Science,More examples are needed to understand the lessons.,Negative
STU10061,Grade 8,English,The teaching style needs improvement.,Negative
STU10062,Grade 8,English,More examples are needed to understand the lessons.,Negative
STU10063,Grade 6,Tamil,Teaching is neither very good nor very bad.,Neutral
STU10064,Grade 8,Mathematics,Classes are average and sometimes interesting.,Neutral
STU10065,Grade 7,Mathematics,The subject is okay but could be taught better.,Neutral
STU10066,Grade 10,Tamil,The teacher explains too fast and it is hard to understand.,Negative
STU10067,Grade 8,Social Science,This subject is taught in a clear and understandable way.,Positive
STU10068,Grade 8,English,Teaching is neither very good nor very bad.,Neutral
STU10069,Grade 9,Social Science,I enjoy this subject because the teacher teaches very well.,Positive
STU10070,Grade 8,Science,Classes are engaging and doubts are explained patiently.,Positive
STU10071,Grade 9,English,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10072,Grade 8,English,The subject is okay but could be taught better.,Neutral
STU10073,Grade 8,Social Science,The subject is okay but could be taught better.,Neutral
STU10074,Grade 7,Mathematics,Classes are average and sometimes interesting.,Neutral
STU10075,Grade 6,Social Science,The subject is okay but could be taught better.,Neutral
STU10076,Grade 6,Tamil,The teacher explains too fast and it is hard to understand.,Negative
STU10077,Grade 9,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10078,Grade 10,Mathematics,Classes are sometimes boring and difficult to follow.,Negative
STU10079,Grade 7,Tamil,The teaching style needs improvement.,Negative
STU10080,Grade 8,Tamil,The teaching style needs improvement.,Negative
STU10081,Grade 8,Social Science,I enjoy this subject because the teacher teaches very well.,Positive
STU10082,Grade 7,Mathematics,Teaching is neither very good nor very bad.,Neutral
STU10083,Grade 7,Mathematics,The subject is okay but could be taught better.,Neutral
STU10084,Grade 7,Social Science,Lessons are acceptable but can be improved.,Neutral
STU10085,Grade 9,English,The teaching style needs improvement.,Negative
STU10086,Grade 6,Social Science,I enjoy this subject because the teacher teaches very well.,Positive
STU10087,Grade 8,Social Science,This subject is taught in a clear and understandable way.,Positive
STU10088,Grade 9,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10089,Grade 7,Mathematics,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10090,Grade 7,Social Science,Classes are engaging and doubts are explained patiently.,Positive
STU10091,Grade 6,Social Science,Classes are sometimes boring and difficult to follow.,Negative
STU10092,Grade 9,Social Science,More examples are needed to understand the lessons.,Negative
STU10093,Grade 10,Mathematics,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10094,Grade 7,English,The teacher explains too fast and it is hard to understand.,Negative
STU10095,Grade 7,Mathematics,More examples are needed to understand the lessons.,Negative
STU10096,Grade 8,Social Science,The teacher uses examples that make learning easy.,Positive
STU10097,Grade 9,Tamil,The subject is okay but could be taught better.,Neutral
STU10098,Grade 10,Science,Teaching is neither very good nor very bad.,Neutral
STU10099,Grade 7,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10100,Grade 6,Social Science,I enjoy this subject because the teacher teaches very well.,Positive
STU10101,Grade 9,English,Classes are sometimes boring and difficult to follow.,Negative
STU10102,Grade 10,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10103,Grade 9,Mathematics,Classes are average and sometimes interesting.,Neutral
STU10104,Grade 8,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10105,Grade 8,Social Science,Teaching is neither very good nor very bad.,Neutral
STU10106,Grade 10,Social Science,The teacher uses examples that make learning easy.,Positive
STU10107,Grade 9,Social Science,The teaching style needs improvement.,Negative
STU10108,Grade 6,Tamil,I feel confused during many classes.,Negative
STU10109,Grade 9,Tamil,Classes are engaging and doubts are explained patiently.,Positive
STU10110,Grade 7,Science,Teaching is neither very good nor very bad.,Neutral
STU10111,Grade 8,English,Classes are average and sometimes interesting.,Neutral
STU10112,Grade 9,Science,More examples are needed to understand the lessons.,Negative
STU10113,Grade 10,Science,Teaching is neither very good nor very bad.,Neutral
STU10114,Grade 9,Social Science,I feel confused during many classes.,Negative
STU10115,Grade 6,Tamil,I enjoy this subject because the teacher teaches very well.,Positive
STU10116,Grade 7,Tamil,The teaching style needs improvement.,Negative
STU10117,Grade 7,Science,The subject is okay but could be taught better.,Neutral
STU10118,Grade 7,Tamil,The teacher explains too fast and it is hard to understand.,Negative
STU10119,Grade 7,Mathematics,Lessons are acceptable but can be improved.,Neutral
STU10120,Grade 10,Social Science,More examples are needed to understand the lessons.,Negative
STU10121,Grade 8,English,I enjoy this subject because the teacher teaches very well.,Positive
STU10122,Grade 6,English,I enjoy this subject because the teacher teaches very well.,Positive
STU10123,Grade 7,English,Classes are average and sometimes interesting.,Neutral
STU10124,Grade 8,Tamil,Teaching is neither very good nor very bad.,Neutral
STU10125,Grade 7,Tamil,Teaching is neither very good nor very bad.,Neutral
STU10126,Grade 7,English,I enjoy this subject because the teacher teaches very well.,Positive
STU10127,Grade 10,Tamil,The subject is okay but could be taught better.,Neutral
STU10128,Grade 7,English,This subject is taught in a clear and understandable way.,Positive
STU10129,Grade 7,Tamil,Teaching is neither very good nor very bad.,Neutral
STU10130,Grade 7,English,The teacher explains too fast and it is hard to understand.,Negative
STU10131,Grade 7,Tamil,The teacher uses examples that make learning easy.,Positive
STU10132,Grade 9,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10133,Grade 10,Mathematics,More examples are needed to understand the lessons.,Negative
STU10134,Grade 9,Science,Classes are sometimes boring and difficult to follow.,Negative
STU10135,Grade 9,English,The teacher uses examples that make learning easy.,Positive
STU10136,Grade 10,Mathematics,The subject is manageable but not very interesting.,Neutral
STU10137,Grade 6,Mathematics,Classes are engaging and doubts are explained patiently.,Positive
STU10138,Grade 8,Mathematics,Classes are average and sometimes interesting.,Neutral
STU10139,Grade 7,English,More examples are needed to understand the lessons.,Negative
STU10140,Grade 7,Tamil,The subject is manageable but not very interesting.,Neutral
STU10141,Grade 8,Tamil,More examples are needed to understand the lessons.,Negative
STU10142,Grade 6,Tamil,Lessons are acceptable but can be improved.,Neutral
STU10143,Grade 9,Science,Classes are sometimes boring and difficult to follow.,Negative
STU10144,Grade 8,English,I feel confused during many classes.,Negative
STU10145,Grade 10,Tamil,The teacher uses examples that make learning easy.,Positive
STU10146,Grade 6,Mathematics,Classes are engaging and doubts are explained patiently.,Positive
STU10147,Grade 9,Social Science,This subject is taught in a clear and understandable way.,Positive
STU10148,Grade 9,Social Science,The subject is okay but could be taught better.,Neutral
STU10149,Grade 6,English,Teaching is neither very good nor very bad.,Neutral
STU10150,Grade 7,English,I feel confused during many classes.,Negative
STU10151,Grade 7,Science,The teaching style needs improvement.,Negative
STU10152,Grade 9,Science,Teaching is neither very good nor very bad.,Neutral
STU10153,Grade 6,Science,I enjoy this subject because the teacher teaches very well.,Positive
STU10154,Grade 8,Social Science,The teaching style needs improvement.,Negative
STU10155,Grade 7,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10156,Grade 9,Tamil,The subject is manageable but not very interesting.,Neutral
STU10157,Grade 6,Tamil,The subject is manageable but not very interesting.,Neutral
STU10158,Grade 9,Mathematics,I feel confused during many classes.,Negative
STU10159,Grade 6,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10160,Grade 9,Social Science,Classes are sometimes boring and difficult to follow.,Negative
STU10161,Grade 7,Mathematics,Classes are engaging and doubts are explained patiently.,Positive
STU10162,Grade 7,Science,Classes are engaging and doubts are explained patiently.,Positive
STU10163,Grade 6,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10164,Grade 10,English,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10165,Grade 9,Social Science,The subject is okay but could be taught better.,Neutral
STU10166,Grade 7,English,The teaching style needs improvement.,Negative
STU10167,Grade 9,Mathematics,I feel confused during many classes.,Negative
STU10168,Grade 10,Social Science,The teacher uses examples that make learning easy.,Positive
STU10169,Grade 8,Social Science,More examples are needed to understand the lessons.,Negative
STU10170,Grade 9,Social Science,I feel confused during many classes.,Negative
STU10171,Grade 9,English,The teacher explains too fast and it is hard to understand.,Negative
STU10172,Grade 6,Science,The teacher explains too fast and it is hard to understand.,Negative
STU10173,Grade 7,Tamil,I feel confused during many classes.,Negative
STU10174,Grade 8,Mathematics,I enjoy this subject because the teacher teaches very well.,Positive
STU10175,Grade 9,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10176,Grade 8,Social Science,The teaching style needs improvement.,Negative
STU10177,Grade 9,Mathematics,I enjoy this subject because the teacher teaches very well.,Positive
STU10178,Grade 8,Tamil,I enjoy this subject because the teacher teaches very well.,Positive
STU10179,Grade 9,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10180,Grade 6,Tamil,Lessons are acceptable but can be improved.,Neutral
STU10181,Grade 7,Tamil,The teaching style needs improvement.,Negative
STU10182,Grade 8,Mathematics,The subject is manageable but not very interesting.,Neutral
STU10183,Grade 8,Mathematics,Teaching is neither very good nor very bad.,Neutral
STU10184,Grade 6,Mathematics,The subject is okay but could be taught better.,Neutral
STU10185,Grade 8,Science,Classes are engaging and doubts are explained patiently.,Positive
STU10186,Grade 10,Mathematics,The teacher explains too fast and it is hard to understand.,Negative
STU10187,Grade 7,Mathematics,Classes are engaging and doubts are explained patiently.,Positive
STU10188,Grade 6,Social Science,The subject is manageable but not very interesting.,Neutral
STU10189,Grade 8,Mathematics,Classes are sometimes boring and difficult to follow.,Negative
STU10190,Grade 7,Social Science,The teacher uses examples that make learning easy.,Positive
STU10191,Grade 10,Tamil,Teaching is neither very good nor very bad.,Neutral
STU10192,Grade 10,Mathematics,The teaching style needs improvement.,Negative
STU10193,Grade 6,Tamil,The teacher explains too fast and it is hard to understand.,Negative
STU10194,Grade 6,Science,Classes are sometimes boring and difficult to follow.,Negative
STU10195,Grade 10,Science,Classes are sometimes boring and difficult to follow.,Negative
STU10196,Grade 6,English,Classes are average and sometimes interesting.,Neutral
STU10197,Grade 6,Mathematics,The teacher uses examples that make learning easy.,Positive
STU10198,Grade 6,Science,The subject is okay but could be taught better.,Neutral
STU10199,Grade 10,English,I enjoy this subject because the teacher teaches very well.,Positive
STU10200,Grade 10,Science,I feel confused during many classes.,Negative
STU10201,Grade 6,Science,The teacher uses examples that make learning easy.,Positive
STU10202,Grade 7,Mathematics,The teaching style needs improvement.,Negative
STU10203,Grade 6,English,The subject is manageable but not very interesting.,Neutral
STU10204,Grade 10,Social Science,Classes are engaging and doubts are explained patiently.,Positive
STU10205,Grade 8,English,Classes are sometimes boring and difficult to follow.,Negative
STU10206,Grade 9,English,The teaching style needs improvement.,Negative
STU10207,Grade 8,Science,More examples are needed to understand the lessons.,Negative
STU10208,Grade 10,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10209,Grade 8,English,Classes are engaging and doubts are explained patiently.,Positive
STU10210,Grade 7,Social Science,The teacher explains too fast and it is hard to understand.,Negative
STU10211,Grade 8,English,Classes are average and sometimes interesting.,Neutral
